2023-08-01-15:39:32,225,-0.95,0.89,11.02,-0.03,0.13,-0.01,24.66,1464.66,0.02,84929,-1.1059776669999999,36.9758916669999991,20230601,0
2023-08-01-15:39:32,226,-0.62,0.79,10.36,-0.10,0.03,-0.02,23.70,1463.70,0.01,84938,-1.1059776669999999,36.9758916669999991,20230601,0
2023-08-01-15:39:33,227,-0.76,0.79,10.66,-0.01,0.14,0.00,23.89,1463.89,0.02,84939,-1.1059686670000000,36.9758968330000002,12392800,0
2023-08-01-15:39:33,228,-0.74,0.61,10.39,-0.06,-0.06,-0.00,24.37,1464.37,0.02,84947,-1.1059686670000000,36.9758968330000002,20230601,0
2023-08-01-15:39:33,229,-1.10,0.51,10.57,-0.05,-0.05,-0.02,23.12,1463.12,0.00,84944,-1.1059686670000000,36.9758968330000002,20230601,0
2023-08-01-15:39:33,230,-0.66,0.66,10.35,-0.08,0.06,-0.05,24.27,1464.27,0.01,84942,-1.1059686670000000,36.9758968330000002,20230601,0
2023-08-01-15:39:33,231,-0.81,0.79,10.98,-0.09,-0.01,-0.03,24.08,1464.08,89.46,84942,-1.1059686670000000,36.9758968330000002,20230601,0
2023-08-01-15:39:33,232,-0.94,0.68,10.40,-0.02,-0.05,-0.03,24.08,1464.08,-0.01,84945,-1.1059626670000000,36.9759005000000016,12392900,0
2023-08-01-15:39:34,233,-0.85,0.66,10.98,-0.02,-0.05,-0.02,23.60,1463.60,0.00,84926,-1.1059626670000000,36.9759005000000016,12392900,0
2023-08-01-15:39:34,234,-0.73,0.62,10.61,-0.08,0.04,-0.02,23.22,1463.22,-0.01,84940,-1.1059626670000000,36.9759005000000016,20230601,0
2023-08-01-15:39:34,235,-0.90,0.62,10.80,-0.07,-0.07,-0.03,23.12,1463.12,-0.02,84937,-1.1059626670000000,36.9759005000000016,20230601,0
2023-08-01-15:39:34,236,-1.05,0.64,10.37,-0.04,-0.05,-0.01,23.22,1463.22,-0.02,84933,-1.1059626670000000,36.9759005000000016,20230601,0
2023-08-01-15:39:34,237,-0.67,0.46,10.76,-0.03,0.05,-0.03,24.18,1464.18,0.01,84932,-1.1059565000000000,36.9759006669999977,12393000,0
2023-08-01-15:39:35,238,-0.83,0.84,10.46,-0.09,0.04,-0.02,23.79,1463.79,-0.00,84929,-1.1059565000000000,36.9759006669999977,12393000,0
2023-08-01-15:39:35,239,-0.86,0.63,10.05,-0.05,0.05,-0.03,24.27,1464.27,-0.00,84929,-1.1059565000000000,36.9759006669999977,20230601,0
2023-08-01-15:39:35,240,-0.90,0.72,11.02,-0.01,-0.06,-0.03,24.27,1464.27,0.00,84933,-1.1059565000000000,36.9759006669999977,20230601,0
2023-08-01-15:39:35,241,-0.73,0.67,10.09,-0.02,-0.05,-0.02,23.79,1463.79,-0.01,84919,-1.1059565000000000,36.9759006669999977,20230601,0
2023-08-01-15:39:35,242,-0.94,0.58,10.51,-0.05,0.03,-0.03,23.60,1463.60,-0.01,84930,-1.1059565000000000,36.9759006669999977,20230601,0
2023-08-01-15:39:35,243,-0.98,0.63,10.48,-0.03,-0.01,-0.02,23.60,1463.60,-0.02,84929,-1.1059603330000001,36.9759021670000010,12393100,0
2023-08-01-15:39:36,244,-1.03,0.66,10.71,-0.01,-0.03,-0.01,23.41,1463.41,-0.01,84926,-1.1059603330000001,36.9759021670000010,20230601,0
2023-08-01-15:39:36,245,-1.02,0.53,10.33,-0.03,-0.06,-0.01,23.22,1463.22,-0.02,84937,-1.1059603330000001,36.9759021670000010,20230601,0
2023-08-01-15:39:36,246,-0.85,0.48,10.76,-0.05,0.07,-0.02,23.41,1463.41,-0.00,84933,-1.1059603330000001,36.9759021670000010,20230601,0
2023-08-01-15:39:36,247,-0.92,0.68,10.62,-0.06,-0.01,-0.01,24.95,1464.95,0.02,84930,-1.1059603330000001,36.9759021670000010,20230601,0
2023-08-01-15:39:36,248,-1.04,0.58,10.39,-0.05,-0.03,-0.02,23.70,1463.70,-0.01,84932,-1.1059600000000001,36.9758998329999997,12393200,0
2023-08-01-15:39:36,249,-0.88,0.85,10.79,-0.06,-0.06,-0.02,23.31,1463.31,-0.01,84927,-1.1059600000000001,36.9758998329999997,12393200,0
2023-08-01-15:39:37,250,-1.15,0.69,11.40,-0.09,0.06,-0.02,24.18,1464.18,49.98,84928,-1.1059600000000001,36.9758998329999997,20230601,0
2023-08-01-15:39:37,251,-1.41,0.50,11.13,-0.04,0.12,-0.02,24.27,1464.27,-0.00,84936,-1.1059600000000001,36.9758998329999997,20230601,0
2023-08-01-15:39:37,252,-0.47,0.93,10.16,-0.01,-0.16,-0.02,24.27,1464.27,0.01,84919,-1.1059600000000001,36.9758998329999997,20230601,0
2023-08-01-15:39:37,253,-1.28,0.64,11.38,-0.06,-0.04,-0.04,24.08,1464.08,0.24,84935,-1.1059600000000001,36.9758998329999997,20230601,0
2023-08-01-15:39:37,254,-0.51,0.60,10.22,-0.06,0.06,-0.03,22.93,1462.93,-0.02,84930,-1.1059681669999999,36.9758943329999994,12393300,0
2023-08-01-15:39:37,255,-1.11,0.56,10.81,-0.02,-0.02,-0.03,24.56,1464.56,0.22,84913,-1.1059681669999999,36.9758943329999994,12393300,0
2023-08-01-15:39:38,256,-1.14,0.60,10.86,-0.03,-0.01,-0.03,24.47,1464.47,0.00,84927,-1.1059681669999999,36.9758943329999994,20230601,0
2023-08-01-15:39:38,257,-1.18,0.70,10.65,-0.07,0.01,-0.02,24.18,1464.18,0.00,84929,-1.1059681669999999,36.9758943329999994,20230601,0
2023-08-01-15:39:38,258,-0.80,0.66,10.52,-0.00,0.05,-0.02,23.60,1463.60,0.01,84928,-1.1059681669999999,36.9758943329999994,20230601,0
2023-08-01-15:39:38,259,-0.86,0.85,10.75,-0.00,-0.12,-0.02,24.18,1464.18,0.02,84941,-1.1059681669999999,36.9758943329999994,20230601,0
2023-08-01-15:39:38,260,-0.80,0.40,10.72,-0.05,0.16,-0.02,25.23,1465.23,0.01,84935,-1.1059745000000001,36.9758939999999967,12393400,0
2023-08-01-15:39:39,261,-1.07,0.66,10.43,-0.07,-0.17,-0.03,23.60,1463.60,-0.01,84930,-1.1059745000000001,36.9758939999999967,20230601,0
2023-08-01-15:39:39,262,-1.36,0.68,10.75,-0.04,-0.05,-0.02,23.70,1463.70,-0.00,84942,-1.1059745000000001,36.9758939999999967,20230601,0
2023-08-01-15:39:39,263,-0.99,0.71,10.81,-0.06,-0.13,-0.03,23.79,1463.79,0.00,84934,-1.1059745000000001,36.9758939999999967,20230601,0
2023-08-01-15:39:39,264,-1.01,0.84,11.03,-0.09,0.30,-0.06,23.12,1463.12,-0.01,84933,-1.1059745000000001,36.9758939999999967,20230601,0
2023-08-01-15:39:39,265,-0.83,0.91,10.57,-0.07,-0.03,-0.02,24.18,1464.18,0.01,84936,-1.1059773330000000,36.9758925000000005,12393500,0
2023-08-01-15:39:39,266,-1.26,0.49,10.58,-0.06,0.03,-0.01,23.12,1463.12,-0.01,84940,-1.1059773330000000,36.9758925000000005,12393500,0
2023-08-01-15:39:40,267,-0.68,0.44,10.45,-0.07,-0.11,-0.04,24.27,1464.27,0.02,84935,-1.1059773330000000,36.9758925000000005,20230601,0
2023-08-01-15:39:40,268,-0.89,0.86,10.93,-0.04,0.04,-0.02,23.41,1463.41,-0.00,84945,-1.1059773330000000,36.9758925000000005,20230601,0
2023-08-01-15:39:40,269,-0.77,0.91,10.85,-0.06,0.05,-0.02,23.89,1463.89,87.88,84933,-1.1059773330000000,36.9758925000000005,20230601,0
2023-08-01-15:39:40,270,-0.92,0.77,10.43,-0.03,-0.01,-0.01,22.54,1462.54,-0.01,84943,-1.1059773330000000,36.9758925000000005,20230601,0
2023-08-01-15:39:40,271,-1.02,0.76,10.92,-0.04,-0.07,-0.02,24.47,1464.47,0.00,84938,-1.1059820000000000,36.9758876670000021,12393600,0
